Fecha_Lanzamiento,Modelo,Proveedor,Tipo,Pricing,Estado_Integracion,Clasificacion,URL
2026-06,Sora 2,KIE.ai,Video,.250 / s,Integrado,Más reciente,https://kie.ai/market/sora-2
2026-05,Runway Gen-4.5,KIE.ai,Video,.080 - .150 / s,Integrado,Más reciente,https://kie.ai/market/runway-gen-4-5
2026-05,runway/gen-4.5,Replicate,Video,.080 - .150 / s,Integrado,Más reciente,https://replicate.com/runway/gen-4.5
2026-04,Veo 3.1,KIE.ai,Video,.150 - .200 / s,Integrado,Más reciente,https://kie.ai/market/veo-3-1
2026-04,google/gemini-3.1-flash-tts,Replicate,TTS,.015 / 1k chars,Integrado,Más reciente,https://replicate.com/google/gemini-3.1-flash-tts
2026-04,google/veo-3.1,Replicate,Video,.150 - .200 / s,Integrado,Más reciente,https://replicate.com/google/veo-3.1
2026-04,Veo 3.1,fal.ai,Video,.150 - .200 / s,Integrado,Más reciente,https://fal.ai/models/fal-ai/google/veo-3-1
2026-03,Kling 3.0 Standard,Higgsfield AI,Video,.070 / s,Integrado,Más reciente,https://console.higgsfield.ai/models/kling-3-0
2026-03,Wan 3.0 (Higgsfield),Higgsfield AI,Video,.040 / s,Integrado,Más reciente,https://console.higgsfield.ai/models/wan-3-0
2026-03,Gemini Omni 1.1 Flash,KIE.ai,Video,.315 - .260 / video,Integrado,Más reciente,https://kie.ai/market/gemini-omni-flash-1-1
2026-03,Kling 3.0,KIE.ai,Video,.070 - .335 / s,Integrado,Más reciente,https://kie.ai/market/kling-3-0
2026-03,Wan 3.0,KIE.ai,Video,.040 - .160 / s,Integrado,Más reciente,https://kie.ai/market/wan-3-0
2026-03,Kling 3.0 (MachGen),MachGen,Video,.060 / s,Integrado,Más reciente,https://www.machgen.ai/docs/models/kling-3-0
2026-03,Wan 3.0 (MachGen),MachGen,Video,.035 / s,Integrado,Más reciente,https://www.machgen.ai/docs/models/wan-3-0
2026-03,kling-ai/kling-video-3.0,Replicate,Video,.080 / s,Integrado,Más reciente,https://replicate.com/kling-ai/kling-video-3.0
2026-03,Kling 3.0 Video,fal.ai,Video,.080 / s,Integrado,Más reciente,https://fal.ai/models/fal-ai/kling-video/v3/text-to-video
2026-03,Wan 3.0 Video,fal.ai,Video,.050 / s,Integrado,Más reciente,https://fal.ai/models/fal-ai/wan/v3/text-to-video
2026-02,Eleven Multilingual v3,ElevenLabs,TTS,.030 - .050 / 1k chars,Integrado,Más reciente,https://elevenlabs.io/docs/models#eleven-multilingual-v3
2026-02,Eleven Multilingual v3 Flash,ElevenLabs,TTS,.020 - .030 / 1k chars,Integrado,Más reciente,https://elevenlabs.io/docs/models#eleven-multilingual-v3-flash
2026-02,Eleven v3,ElevenLabs,TTS,.030 - .050 / 1k chars,Integrado,Más reciente,https://elevenlabs.io/docs/models#eleven-v3
2026-02,Eleven v3 Flash,ElevenLabs,TTS,.020 - .030 / 1k chars,Integrado,Más reciente,https://elevenlabs.io/docs/models#eleven-v3-flash
2026-02,ElevenLabs Music v2.5,ElevenLabs,Music generation,.004 / s,Integrado,Más reciente,https://elevenlabs.io/docs/models#music-v2-5
2026-02,Seedance 2.5,Higgsfield AI,Video,.206 - .462 / s,Integrado,Más reciente,https://console.higgsfield.ai/models/seedance-2-5
2026-02,GPT Image 2.5 Flare,KIE.ai,Imagen,.030 - .080 / img,Integrado,Más reciente,https://kie.ai/market/gpt-image-2-5-flare
2026-02,GPT Image 2.5 Sunburst,KIE.ai,Imagen,.030 - .080 / img,Integrado,Más reciente,https://kie.ai/market/gpt-image-2-5-sunburst
2026-02,Seedance 2.5,KIE.ai,Video,.140 - .315 / s,Integrado,Más reciente,https://kie.ai/market/seedance-2-5
2026-02,Suno v4 / v4.5,KIE.ai,Music generation,.040 / canción,Integrado,Más reciente,https://kie.ai/market/suno-v4
2026-02,MiniMax H3 Max,fal.ai,Video,.013 - .040 / s,Integrado,Más reciente,https://fal.ai/models/minimax/h3-max/text-to-video
2026-02,MiniMax H3 Max Reference,fal.ai,Video,.050 - .080 / s,Integrado,Más reciente,https://fal.ai/models/minimax/h3-max/reference-to-video
2026-02,MiniMax H3 Max Turbo,fal.ai,Video,.006 - .020 / s,Integrado,Más reciente,https://fal.ai/models/minimax/h3-max-turbo/text-to-video
2026-02,MiniMax H3 Turbo (MachGen),MachGen,Video,.015 - .050 / s,Integrado,Más reciente,https://www.machgen.ai/docs/models/minimax-h3-turbo
2026-02,MiniMax Music 3,fal.ai,Music generation,.030 / 30s,Integrado,Más reciente,https://fal.ai/models/fal-ai/minimax/music-3
2026-02,Seedance 2.5,fal.ai,Video,.180 / s,Integrado,Más reciente,https://fal.ai/models/fal-ai/bytedance/seedance-2-5
2026-01,Soul 2.0 Cinema,Higgsfield AI,Video,.120 / s,Integrado,Más reciente,https://console.higgsfield.ai/models/soul-2-0
2026-01,Soul Image 2.0,Higgsfield AI,Imagen,.030 / img,Integrado,Más reciente,https://console.higgsfield.ai/models/soul-image-2
2026-01,Flux 2 Pro,KIE.ai,Imagen,.050 - .080 / img,Integrado,Más usado,https://kie.ai/market/flux-2-pro
2026-01,Qwen 3 TTS,KIE.ai,TTS,.015 / 1k chars,Integrado,Más reciente,https://kie.ai/market/qwen-3-tts
2026-01,Qwen Image 3,KIE.ai,Imagen,.030 / img,Integrado,Más reciente,https://kie.ai/market/qwen-image-3
2026-01,FLUX.2 Pro (MachGen),MachGen,Imagen,.030 / img,Integrado,Más reciente,https://www.machgen.ai/docs/models/flux-2-pro
2026-01,LTX-2.3-Pro (MachGen),MachGen,Video,.008 - .030 / s,Integrado,Más reciente,https://www.machgen.ai/docs/models/ltx-2-3-pro
2026-01,Wan2.2-A14B (MachGen),MachGen,Video,.018 - .036 / s,Integrado,Más reciente,https://www.machgen.ai/docs/models/wan-2-2
2026-01,Dia TTS,fal.ai,TTS,.030 / 1k chars,Integrado,Más reciente,https://fal.ai/models/fal-ai/dia-tts
2026-01,Orpheus TTS,fal.ai,TTS,.025 / 1k chars,Integrado,Más reciente,https://fal.ai/models/fal-ai/orpheus-tts
2026-01,Qwen Audio 3.0 TTS,fal.ai,TTS,.015 / 1k chars,Integrado,Más reciente,https://fal.ai/models/fal-ai/qwen-audio-3-tts
2026-01,Recraft V4,fal.ai,Imagen,.040 - .080 / img,Integrado,Más reciente,https://fal.ai/models/fal-ai/recraft/v4/text-to-image
2026-01,Recraft V4 Pro,fal.ai,Imagen,.250 - .300 / img,Integrado,Más reciente,https://fal.ai/models/fal-ai/recraft/v4/pro/text-to-image
2025-11,Seedance 2.0,Higgsfield AI,Video,.135 - .555 / s,Integrado,Más usado,https://console.higgsfield.ai/models/seedance-2-0
2025-11,Seedance 2 Fast,KIE.ai,Video,.059 - .124 / s,Integrado,Más reciente,https://kie.ai/market/seedance-2-fast
2025-11,Seedance 2 Mini,KIE.ai,Video,.019 - .041 / s,Integrado,Más reciente,https://kie.ai/market/seedance-2-mini
2025-11,Seedance 2.0,KIE.ai,Video,.095 - .040 / s,Integrado,Más usado,https://kie.ai/market/seedance-2
2025-10,MiniMax H3 (Higgsfield),Higgsfield AI,Video,.050 / s,Integrado,Más usado,https://console.higgsfield.ai/models/minimax-h3
2025-10,Kling 2.5 Turbo,KIE.ai,Video,.050 / s,Integrado,Más usado,https://kie.ai/market/kling-2-5-turbo
2025-10,MiniMax H3,KIE.ai,Video,.040 - .065 / s,Integrado,Más usado,https://kie.ai/market/minimax-h3
2025-10,MiniMax H3 (MachGen),MachGen,Video,.035 - .100 / s,Integrado,Más usado,https://www.machgen.ai/docs/models/minimax-h3
2025-10,Kling 2.5 Turbo Video,fal.ai,Video,.050 / s,Integrado,Más usado,https://fal.ai/models/fal-ai/kling-video/v2.5/turbo
2025-10,MiniMax H3,fal.ai,Video,.080 - .160 / s,Integrado,Más usado,https://fal.ai/models/minimax/h3/reference-to-video
2025-09,InfiniteTalk multi-fp8,Hugging Face,TTS,Gratis (Local),No integrado,Más reciente,https://huggingface.co/MeiGen-AI/InfiniteTalk
2025-09,Grok Imagine,KIE.ai,Imagen,.020 - .030 / img,Integrado,Más reciente,https://kie.ai/market/grok-imagine
2025-09,Grok Imagine Video,KIE.ai,Video,.012 - .040 / s,Integrado,Más reciente,https://kie.ai/market/grok-imagine-video
2025-09,Hailuo 2 Pro,KIE.ai,Video,.060 / s,Integrado,Más reciente,https://kie.ai/market/hailuo-2-pro
2025-09,OmniHuman 1.5,KIE.ai,Video,.135 / s,Integrado,Más reciente,https://kie.ai/market/omnihuman-1-5
2025-09,PixVerse V6,KIE.ai,Video,.020 - .092 / s,Integrado,Más reciente,https://kie.ai/market/pixverse-v6
2025-09,Wan 2.7,KIE.ai,Video,.040 / s,Integrado,Más usado,https://kie.ai/market/wan-2-7
2025-09,PixVerse V6,fal.ai,Video,.020 - .092 / s,Integrado,Más reciente,https://fal.ai/models/fal-ai/pixverse/v6
2025-08,Imagen 4 Fast,KIE.ai,Imagen,.040 - .060 / img,Integrado,Más reciente,https://kie.ai/market/imagen-4-fast
2025-08,Nano Banana 2,KIE.ai,Imagen,.040 - .090 / img,Integrado,Más reciente,https://kie.ai/market/nano-banana-2
2025-08,Nano Banana 2 Lite,KIE.ai,Imagen,.020 / img,Integrado,Más reciente,https://kie.ai/market/nano-banana-2-lite
2025-08,Seedream 5 Pro,KIE.ai,Imagen,.060 - .150 / img,Integrado,Más reciente,https://kie.ai/market/seedream-5-pro
2025-08,ideogram-ai/ideogram-v2-turbo,Replicate,Imagen,.040 / img,Integrado,Más reciente,https://replicate.com/ideogram-ai/ideogram-v2-turbo
2025-08,FLUX Krea LoRA stream,fal.ai,Imagen,.035 - .070 / img,Integrado,Más reciente,https://fal.ai/models/fal-ai/flux-krea-lora/stream
2025-08,FLUX.1 Kontext [pro],fal.ai,Imagen,.040 - .080 / img,Integrado,Más reciente,https://fal.ai/models/fal-ai/flux-pro/kontext
2025-08,Ideogram v2 Turbo,fal.ai,Imagen,.040 / img,Integrado,Más reciente,https://fal.ai/models/fal-ai/ideogram/v2/turbo
